Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Code,Population,GDP per Capita,Season,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Rank,Speed,Strength,Total
"1896-01-01,Athens,Cycling,Cycling Road,""KONSTANTINIDIS, Aristidis"",Men,Individual Road Race,Gold,Greece,GRE,10823732.0,18002.230577668797,summer,3.75,4.88,6.88,9.6300000000000008,2.63,3.0,5.88,6.25,20.0,5.13,6.38,54.375"
"1896-01-01,Athens,Cycling,Cycling Road,""GOEDRICH, August"",Men,Individual Road Race,Silver,Germany,GER,81413145.0,41313.3139945434,summer,3.75,4.88,6.88,9.6300000000000008,2.63,3.0,5.88,6.25,20.0,5.13,6.38,54.375"
"1896-01-01,Athens,Cycling,Cycling Track,""FLAMENG, Léon"",Men,100KM,Gold,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""KOLETTIS, Georgios"",Men,100KM,Silver,Greece,GRE,10823732.0,18002.230577668797,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""SCHMAL, Adolf"",Men,10KM,Bronze,Austria,AUT,8611088.0,43774.985173612,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""MASSON, Paul"",Men,10KM,Gold,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""FLAMENG, Léon"",Men,10KM,Silver,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""SCHMAL, Adolf"",Men,12-Hour Race,Gold,Austria,AUT,8611088.0,43774.985173612,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""KEEPING, Frank"",Men,12-Hour Race,Silver,United Kingdom,GBR,65138232.0,43875.9696143686,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""SCHMAL, Adolf"",Men,1KM Time Trial,Bronze,Austria,AUT,8611088.0,43774.985173612,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""MASSON, Paul"",Men,1KM Time Trial,Gold,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""NIKOLOPOULOS, Stamatios"",Men,1KM Time Trial,Silver,Greece,GRE,10823732.0,18002.230577668797,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""FLAMENG, Léon"",Men,Sprint Indivual,Bronze,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""MASSON, Paul"",Men,Sprint Indivual,Gold,France,FRA,66808385.0,36205.5681017036,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Cycling,Cycling Track,""NIKOLOPOULOS, Stamatios"",Men,Sprint Indivual,Silver,Greece,GRE,10823732.0,18002.230577668797,summer,4.0,4.5,4.5,4.25,2.88,3.63,4.75,7.88,27.0,7.5,6.13,50.0"
"1896-01-01,Athens,Fencing,Fencing,""PIERRAKOS-MAVROMICHALIS, Perikles"",Men,Foil Individual,Bronze,Greece,GRE,10823732.0,18002.230577668797,summer,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,24.0,5.13,3.75,52.75"
